format,group,feature,index,mean_abs_shap,mean_shap
PDF,benign,strings[146],665,0.6452599640748685,-0.4422837233043661
PDF,benign,strings[0],519,0.5710006969602051,-0.39782096527226757
PDF,benign,strings[71],590,0.3704823465041976,-0.3249615187879249
PDF,benign,strings[2],521,0.3335251748946319,-0.22098811297508825
PDF,benign,general[0],0,0.3260513555554013,-0.20200897415631974
PDF,benign,strings[83],602,0.2812969510918695,-0.25379535377367596
PDF,benign,strings[131],650,0.23007498923422368,-0.20110490041752868
PDF,benign,strings[165],684,0.22444103270477136,-0.12637739264176784
PDF,benign,strings[102],621,0.21625949353056967,-0.19947105392070033
PDF,benign,strings[41],560,0.20587539891554232,-0.1850236618065705
PDF,benign,byteentropy[64],327,0.19601154238934446,-0.14907288000185007
PDF,benign,strings[145],664,0.19365680252932468,-0.13644842545777786
PDF,benign,strings[170],689,0.17884754227836885,-0.1349320804422488
PDF,malware,strings[103],622,3.6638163630239196,2.332455951157032
PDF,malware,strings[146],665,0.9117875649013781,0.5845067783256662
PDF,malware,strings[125],644,0.47194980652701674,-0.038631522624258424
PDF,malware,strings[131],650,0.3050259292557863,0.015041854286501703
PDF,malware,strings[0],519,0.2880151424472069,0.25015650392017874
PDF,malware,general[0],0,0.24264503265663756,0.2301079702535745
PDF,malware,histogram[39],46,0.22104226932511084,0.10879233861607793
PDF,malware,strings[145],664,0.22090422630294115,-0.1744400697122638
PDF,malware,strings[2],521,0.21290389144130845,0.1892849296468867
PDF,malware,strings[71],590,0.20837207715871986,0.12999570572913544
PDF,malware,strings[83],602,0.1899375270943461,0.0498289201533228
PDF,malware,strings[20],539,0.17453105565650492,0.060322313991752065
PDF,malware,strings[24],543,0.1586111522738369,0.07043319810703112
PDF,malware,strings[170],689,0.15348634905357586,0.07889159873590203
PDF,malware,strings[41],560,0.1361798671542973,-0.004630821861639117
PDF,challenge,strings[103],622,3.044385127981465,0.30816662635729997
PDF,challenge,strings[146],665,0.8083216512162067,-0.010815922997591017
PDF,challenge,strings[0],519,0.5626604907739446,0.38063720350570374
PDF,challenge,strings[125],644,0.445994763010504,0.018799459331644508
PDF,challenge,strings[165],684,0.3785786605107091,0.16532852969805478
PDF,challenge,strings[41],560,0.3226385082776313,-0.27284694332247816
PDF,challenge,strings[131],650,0.3110277592388851,-0.02069591095480033
PDF,challenge,general[0],0,0.2968423042907857,0.230526715620952
PDF,challenge,strings[2],521,0.29416120604350326,0.19812301126857793
PDF,challenge,strings[71],590,0.2810905670332748,-0.1437192815546751
PDF,challenge,strings[83],602,0.26785136473284343,-0.14304926303155166
PDF,challenge,strings[145],664,0.24787695745380872,-0.16112705460702578
PDF,challenge,strings[170],689,0.1846346739182441,-0.15413324293631095
PDF,challenge,strings[173],692,0.1807102881542622,-0.06928252853900782
PDF,challenge,strings[20],539,0.1667456026882436,-0.04223741759018407
